"PlotNumber","Unit","MoistureRegime","NutrientRegime"
"0003034","CWHvm1","4","D"
"0003035","CWHvm1","3","C"
"0003036","CWHvm1","5","D"
"0003051","SBSdk","2","D"
"0003052","SBSdk","0","A"
"0003053","SBSdk","2","D"
"0003054","SBSdk","3","D"
"0003055","SBSdk","2","B"
"0003056","SBSdk","2+","D"
"0003057","SBSdk","2","D"
"0003058","ICHmc2","1","D"
"0003059","ICHmc2","3","D"
"0003060","SBSdk","2","D+"
"0003063","SBSdk","0","A"
"0003064","SBSdk","2","D"
"0003065","SBSdk","3","D"
"0003066","ICHmc2","1","D"
"0003067","ICHmc2","2","D"
"0003068","SBSdk","2","D"
"0003069","SBSdk","3","D"
"0003070","SBSdk","2","D"
"0003071","SBSmc2","0","A"
"0003072","SBSmc2","2","D"
"0003073","SBSmc2","2","D"
"0003074","SBSmc2","2","D"
"0003079","ESSFmm1","1-2","B"
"0003279","ESSFmm1","4","C"
"0003352","SBSdk","5","D"
"0003452","SBSdk","3","D"
"0003679","ESSFmm1","5","D"
"000377","ICHwk3","6","C"
"0004052","SBPSmc","2","B"
"0004079","ESSFmm1","5","D"
"0004352","SBPSmc","2","A"
"0004652","SBSdk","3","B"
"0004779","ESSFmm1","4","C"
"0004801","CWHvh2","3","C"
"0004802","CWHvh2","3","C"
"0004803","CWHvh2","3","C"
"0004804","CWHvh2","2","B"
"0004805","CWHvh2","3","D"
"0004806","CWHvh2","6","E"
"0004807","CWHvh2","3","C"
"0004808","CWHvh2","5","D"
"0004809","CWHvh2","3","C"
"0004810","CWHvh2","3","C"
"0004811","CWHvh2","4","D"
"0004812","CWHvh2","4","C"
"0004813","CWHvh2","3","C"
"0004814","CWHvh2","3","C"
"0004815","CWHvh2","3","B"
"0004816","CWHvh2","4","C"
"0004817","CWHvh2","3","D"
"0004818","CWHvh2","3","E"
"0004819","CWHvh2","3-","D"
"0004820","CWHvh2","3","D"
"0004821","CWHvh2","3","D"
"0004822","CWHvh2","3","E"
"0004823","CWHvh2","3","C"
"0004824","CWHvh2","4","E"
"0004825","CWHvh2","3+","D"
"0004826","CWHvh2","5","D"
"0004827","CWHvh2","3+","D"
"0004828","CWHvh2","3","C"
"0004829","CWHvh2","3+","D"
"0004830","CWHvh2","3","B"
"0004831","CWHvh2","3","C"
"0004832","CWHvh2","3","C"
"0004833","CWHvh2","6-","D"
"0004834","CWHvh2","7","D"
"0004835","CWHvh2","6","D"
"0004836","CWHvh2","5","D"
"0004837","CWHvh2","3","D"
"0004838","CWHvh2","3","C"
"0004839","CWHvh2","3","C"
"0004840","CWHvh2","4","B"
"0004842","CWHvh2","3","C"
"0004843","CWHvh2","4","D"
"0004844","CWHvh2","4","C"
"0004845","CWHvh2","3","C"
"0004846","CWHvh2","3","C"
"0005252","SBPSmc","1","A"
"0005279","ESSFmmp","3",
"0005453","SBSdk","4","C"
"0005552","SBSmc2","3","B"
"0005679","ESSFmmp","2",
"0005779","ESSFmm1","3","B"
"0005852","SBPSmc","3","B"
"0005879","ESSFmm","3","B"
"0005979","ESSFmm1","5","D"
"0006252","SBPSmc","4","B"
"0006279","ESSFmmp","6","D"
"0006379","ESSFmmp","2","C"
"000654","BWBSdk2","0","B"
"0006579","ESSFmmp","3","B"
"0006652","SBSmc3","4","C"
"0006679","ESSFmmp","6","D"
"000677","ICHwk3","3","B"
"0006779","ESSFmm1","6","D"
"0008279","ESSFmm1","5","C"
"0008379","ESSFmm1","5","C"
"0008579","ESSFmm","7","B"
"000877","ICHwk3",,
"0008979","ESSFmm1","1","B"
"0009079","ESSFmmp","4",
"0009179","ESSFmmp","4",
"0009479","ESSFmm","4","B"
"0009579","ESSFmm1","3","B"
"0009779","ESSFmm1","6","C"
"0009879","ESSFmm","2","B"
"0009979","ESSFmm","6","D"
"0010079","ESSFmm","3","B"
"0010252","SBPSmc","3","B"
"0010379","ESSFmm","6","C"
"0010479","ESSFmm","5","C"
"0010652","SBPSmc","6",
"001077","ICHwk3","5","D"
"001079","SBSdh1","1","B"
"0011152","SBPSmc","4","C"
"0011253","SBPSmc","4","C"
"0011753","SBPSmc","3","B"
"001179","SBSdh1","2","B"
"0012052","SBPSmc","2","A"
"0012152","SBPSmc","7","A"
"0012353","SBPSmc","4","B"
"0012452","SBPSmc","1","A"
"001279","SBSdh1","5","E"
"0013053","SBPSmc","5","C"
"0013352","SBPSmc","2","B"
"0013552","SBPSmc","7","A"
"001379","SBSdh1","6","D"
"0013853","SBPSmc","5","D"
"0014152","SBPSmc","2","A"
"0014252","SBPSmc","5",
"0014452","SBPSmc","3","B"
"0014652","SBPSmc","2","A"
"0014752","SBPSmc","2","A"
"001479","SBSdh1","4","B"
"0014852","SBPSmc","2","A"
"0015052","SBPSmc","1","A"
"0015152","SBPSmc","3","B"
"0015252","SBPSmc","7","A"
"0015352","SBPSmc","1","A"
"0015452","SBPSmc",,
"0015552","SBPSmc","3","B"
"0015652","SBPSmc","7","A"
"0015752","SBPSmc","3","B"
"001579","SBSdh1","3","B"
"0015852","SBPSmc","6","D"
"0015952","SBPSmc","1","A"
"0016052","SBPSmc","2","B"
"0016152","ESSFmc","3","C"
"0016352","SBPSmc","2","B"
"0016552","SBPSmc","1","A"
"0016752","SBPSmc","5","D"
"001679","ICHmm","5","C"
"0016952","SBPSmc","2","B"
"0017052","SBPSmc","4",
"0017252","SBPSmc","5","D"
"0017352","SBPSmc","2","A"
"0017552","SBPSmc","3","B"
"0017752","SBPSmc","2","B"
"0018453","SBSdk","4","C"
"0018652","SBSdk","4",
"001879","ICHmm","5","B"
"0018952","SBSdk","4","C"
"0019152","SBPSmc","4","C"
"0019352","SBPSmc","4","C"
"0019552","SBPSmc","5","B"
"001979","ICHmm","6","D"
"0020253","SBPSmc","3","A"
"0020653","SBPSmc","3","B"
"002079","SBSdh1","3","B"
"0020853","SBPSmc","3","B"
"0021552","SBPSmc","5","E"
"002179","ICHmm","4","C"
"0021952","SBPSmc","4","D"
"0022752","SBPSmc","5","D"
"002279","SBSdh1","5","D"
"0023052","SBPSmc","4","B"
"0023252","SBSmc3","5","B"
"0023352","SBPSmc","4","C"
"0023452","SBPSmc","2","B"
"0023752","SBPSmc","1","B"
"0025152","SBPSmc","1","A"
"002579","SBSdh1","3","C"
"002679","ICHmm","3","B"
"002879","ESSFmm","6","E"
"0029780","ESSFmm1","5","C"
"002979","SBSdh1","2","A"
"0030080","ESSFmm","2","B"
"003179","ESSFmm","7","B"
"003377","ICHwk3",,
"003379","SBSdh1","7","A"
"003479","ICHmm","5","C"
"003579","ICHmm","2","A"
"0036580","ESSFmm","3-4","B"
"0037280","ESSFmm","6","B"
"0037380","ESSFmm1","5-4","B"
"003779","ICHmm","4","B"
"0038780","ESSFmm1","2","B"
"003879","ICHmm","5","D"
"003979","ICHmm","5","D"
"0040052","SBSmc3","4","C"
"0040152","SBSmc3","4","C"
"0040552","SBPSmc","4","C"
"0040752","SBPSmc","5","C"
"0041252","SBPSmc","2","A"
"004179","SBSdh1","4","C"
"0042052","SBPSmc","2","C"
"004279","SBSdh1","2","B"
"004379","ICHmm","6","D"
"004479","ICHmm","6","D"
"004579","ICHmm","5","C"
"004679","ICHmm","4","B"
"004879","ICHmm","2","B"
"004979","ICHmm","3","B"
"005079","SBSdh1","6","C"
"005179","SBSdh1","7","A"
"005279","ESSFmmp","3","B"
"005679","ESSFmm","2","B"
"006079","SBSdh1","5","C"
"006179","ESSFmmp","3","B"
"006479","SBSdh1","3","C"
"006879","ICHmm","2","B"
"006979","ICHmm","6","C"
"0070252","SBPSmc","3","B"
"0070352","SBPSmc","3","B"
"0070452","SBPSmc","4","C"
"007079","SBSdh1","1","A"
"007379","SBSmm","5","D"
"007479","ICHmm","6","B"
"007579","SBSdh1","7","B"
"007679","SBSdh1","3","C"
"007779","ESSFmmp","4","B"
"007879","ESSFmmp","3","C"
"007979","SBS","1","A"
"008679","ESSFmmp","5",
"008779","ESSFmmp","6","B"
"008879","SBSdh1","7","D"
"009079","ESSFmmp","4","C"
"009179","ESSFmmp","4","B"
"009279","ESSFmmp","3","B"
"009379","SBSdh1","5","D"
"009679","ESSFmmp","5","C"
"00CG001","IDFxh2","4","D"
"00CG002","IDFxh2","1","B"
"00CG003","IDFxh2","4","C"
"00CG004","IDFdk2","4","C"
"00CG008","MSdm2","4","C"
"00CG029","MSdm3","5","D"
"00CG031","MSdm2","5","D"
"00CG032","MSdm3","5","D"
"00CG034","MSdm2","4","C"
"00CG035","MSdm2","4","C"
"00CG038","ESSFxc2","4","B"
"00CG039","ESSFxc2","6","B"
"00CG042","ESSFxc","4","C"
"00CG043","ESSFxc","7","D"
"00CG045","ESSFxc2","4","C"
"00CG055","ESSFxc2","5","D"
"00CG063","ESSFxc2","4","B"
"00CG081","ESSFdc3","1","B"
"00CG082","ESSFdc2","8","D"
"00CG090","ESSFxc2","4","C"
"00CG103","ESSFdc3","7","D"
"00CG111","ESSFdc3","4","C"
"00CG113","MSdm3","3","B"
"00CG117","MSdm2","7","D"
"00CG125","ESSFdc3","7","D"
"00CG127","ESSFdc3","7","D"
"00CG130","ESSFdc3","2","B"
"00CG132","ESSFdc3","7","D"
"00CG136","ESSFdc2","5","D"
"00CG142","MSdm3","4","B"
"00CG144","MSdm2","3","B"
"00CG146","MSdm3","2","B"
"00CG150","MSdm3","7","D"
"00CG152","MSdm2","4","C"
"00CG153","MSdm2","4","C"
"00CG159","ESSFdc2",,
"00CG160","ESSFdc2","4","B"
"00CG177","MSdm2","3","B"
"00CG182","MSdm2","5","D"
"00CG190","MSdm3","1","B"
"00CG191","MSdm3","4","C"
"00CG192","MSdm2","5","D"
"00CG193","MSdm3","1","B"
"00CG195","MSdm3","8","D"
"00DB01","PPxh2","3","B"
"00DB02","PPxh2","0","B+"
"00DB05","ESSFmw","5","D"
"00DB15","MSdc","3-","B"
"00DB20","ESSFdv","5","C"
"00DL01","ESSFdv","0",
"00DL02","MSdc1",,
"00DL900","ESSFwc2","4+","C"
"00DL901","ICHmw5","4","C"
"00DM01","IDFdk2","0",
"00JG015","IDFdk2","4","C"
"00JG020","MSdm3","5","E"
"00JG021","MSdm2","2","C"
"00JG022","MSdm2","7","E"
"00JG025","ESSFxc2","4","C"
"00JG026","ESSFxc2","3","B"
"00JG027","ESSFxc2","4","C"
"00JG035","ESSFxc2","7","D"
"00JG046","ESSFdc3","5","D"
"00JG053","MSdm3","4","C"
"00JG062","MSdm3","4","C"
"00JG069","ESSFdc3","6","D"
"00JG070","ESSFdc2","3","B"
"00JG071","ESSFdc2","3","C"
"00JG072","ESSFdc2","4","C"
"00JG080","ESSFdc2","4","C"
"00JG086","ESSFdc2","4","C"
"00JG094","IDFxh2","5","D"
"00JG095","MSdm2","5","D"
"00JG096","MSdm2","3","C"
"00JG097","MSdm2","3","B"
"00JG098","MSdm2","3","C"
"00JG099","MSdm2","4","C"
"00JG101","MSdm2","3","C"
"00JG104","MSdm2","4","C"
"00JM01","PPxh2","5","E"
"00JM02","IDFdk1","8","D"
"00JM03","IDFdk1","8","C"
"00kfr01","ESSFwc2","3","D"
"00kfr02","ESSFwc2","4","C"
"00kfr03","ESSFwc2","3","C"
"00kfr04","ESSFwc2","3","E"
"00kfr05","ESSFwc2","3","C"
"00kfr06","ESSFwc2","3","C"
"00kfr07","ESSFwc2","3","C"
"00kfr08","ESSFwc2","3","C"
"00kfr09","ESSFwc2","3","C"
"00kfr10","ESSFwc2","3","C"
"00kfr11","ESSFwc2","3","C"
"00kfr12","ESSFwc2","3","C"
"00kfr13","ESSFwc2","3","C"
"00kfr14","ESSFwc2","3","C"
"00kfr15","ESSFwc2","3","C"
"00kfr16","ESSFwc2","3","C"
"00kfr17","ESSFwc2","3","C"
"00kfr18","ESSFwc2","3","C"
"00kfr19","ESSFwc2","3","C"
"00kfr20","ESSFwc2","3","C"
"00kfr21","ESSFwc2","3","C"
"00kfr22","ESSFwc2","3","C"
"00kfr23","ESSFwc2","3","C"
"00kfr24","MSxk2","4","C"
"00kfr25","MSxk2","4","C"
"00kfr26","MSxk2","3","C"
"00kfr27","MSxk2","3","C"
"00kfr28","MSxk2","3","C"
"00kfr29","MSxk2","3","C"
"00kfr30","MSxk2","3","C"
"00kfr31","IDFdk1","4","C"
"00kfr32","IDFdk1","3","C"
"00kfr33","MSxk2","4","C"
"00kfr34","MSxk2","3","C"
"00kfr35","MSxk2","3","C"
"00kfr36","ICHmw3","5","C"
"00kfr37","MSxk2","4","C"
"00kfr38","ICHmw3","4","C"
"00kfr39","ESSFwc2","2","C"
"00kfr40","ICHwk1","3","C"
"00kfr41","ICHmw3","5","C"
"00kfr42","ICHmw3","5","C"
"00kfr43","ICHwk1","2","B"
"00kfr44","MSxk2","4","C"
"00kfr45","ESSFwc2","3","B"
"00kfr46","ICHmw3","3","B"
"00kfr47","MSxk2","4","C"
"00kfr48","MSxk1","3","C"
"00kfr49","MSxk2","4","C"
"00kfr50","MSxk2","4","C"
"00kfr51","MSdm2","4","D"
"00kfr52","MSdm2","3","C"
"00kfr53","MSdm2","4","C"
"00kfr54","MSdm2","3","D"
"00kfr55","MSdm2","4","D"
"00kfr56","ESSFdc2","3","C"
"00kfr57","ESSFdc2","4","C"
"00kfr58","ESSFdc2","3","B"
"00kfr59","ESSFdc2","4","C"
"00kfr60","ESSFdc2","4","C"
"00kfr61","MSdm2","3","C"
"00kfr62","MSdm2","4","C"
"00kfr63","MSdm2","3","C"
"00kfr64","MSxk1","3","C"
"00kfr65","MSxk1","3","C"
"00kfr66","MSxk1","4","C"
"00MD01","IDFxh2","6","C"
"00MR003","ICHwk1","7","D"
"00MR01","IDFxh2","3","C"
"00MR02","PPxh2","5","D"
"00NB01","MSdm2","4","C"
"00NB02","ESSFmwp","3","C"
"00NC101","ESSFmw","2","B"
"00NC102","ESSFmw","3","B"
"00NC103","ESSFmw","2","B"
"00NC104","ESSFmw","6","C"
"00NC105","ESSFmw","6","C"
"00NC106","ESSFmw","2","C"
"00NC107","ESSFmw","3","B"
"00NC108","ESSFmw","2","B"
"00NC109","ESSFmw","2","B"
"00NC110","ESSFmw","7","C"
"00NC111","ESSFmw","1","B"
"00NC113","ESSFmw","5","C"
"00NCe29","ESSFmw","4","C"
"00NCe30","ESSFmw","4","B"
"00NCe31","ESSFmw","3","B"
"00NCe33","ESSFmw","3","B"
"00NCe34","ESSFmw","4","C"
"00NCe35","ESSFmw","4","C"
"00NCe36","ESSFmw","1","B"
"00NCe37","ESSFmw","5","C"
"00NCe38","ESSFmw","3","B"
"00NCe40","ESSFmw","6","C"
"00NCe41","ESSFmw","7","C"
"00NCe42","ESSFmw","3","C"
"0107640","BWBSmw1","4","C"
"0107641","BWBSmw1","3","B"
"0107642","BWBSmw1","4","C"
"0107643","BWBSmw1","2","D"
"0107644","BWBSmw1","1","D"
"0107645","BWBSmw1","3","C"
"0107646","BWBSmw1","6","B"
"0107647","BWBSmw1","4","D"
"0107648","BWBSmw1","4","D"
"0107649","BWBSmw1","6","B"
"0107650","BWBSmw1","4","C"
"0107651","BWBSmw1","4","C"
"0107652","BWBSmw1","5","D"
"0107653","BWBSmw1","4","C"
"0107654","BWBSmw1","4","C"
"0107655","BWBSmw1","3","C"
"0107656","BWBSmw1","4","D"
"0107657","BWBSmw1","2","B"
"00NC114","ESSFmw","4","C"
"00NC115","ESSFmw","6","C"
"00NC39","ESSFmw","3","B"
"00NCc01","CWHms1","6","C"
"00NCc02","CWHms1","5","C"
"00NCc03","CWHms1","3","B"
"00NCc04","CWHms1","5","D"
"00NCc05","CWHms1","2","C"
"00NCc06","CWHms1","2","B"
"00NCc07","CWHms1","3","C"
"00NCc08","CWHms1","5","C"
"00NCc09","CWHms1","5","D"
"00NCc10","CWHms1","5","D"
"00NCc11","CWHms1","6","D"
"00NCc12","CWHms1","3","B"
"00NCc13","CWHms1",,
"00NCc14","CWHms1","5","C"
"00NCc15","CWHms1","6","D"
"00NCc16","CWHms1","2","C"
"00NCc17","CWHms1","6","D"
"00NCc18","CWHms1","2","B"
"00NCc19","CWHms1","7","D"
"00NCc20","CWHms1","4","D"
"00NCc21","CWHms1","8","B"
"00NCc22","CWHms1","7","C"
"00NCc23","CWHms1","6","C"
"00NCc24","CWHms1","6","B"
"00NCc25","CWHms1","7","B"
"00NCc26","CWHms1","5","C"
"00NCc27","CWHms1","6","C"
"00NCc29","CWHms1","7","C"
"00NCc30","CWHms1","5","C"
"00NCe01","ESSFmw","1","B"
"00NCe02","ESSFmw","3","C"
"00NCe03","ESSFmw","3","C"
"00NCe04","ESSFmwp","2","C"
"00NCe05","ESSFmw","6","C"
"00NCe06","ESSFmw","7","C"
"00NCe07","ESSFmw","7","B"
